  PID TTY      STAT   TIME COMMAND
 3524 ?        S      0:00 dbus-launch --autolaunch=bbada5cfcc9a4a80ac8dc5ce6d9f53aa --binary-syntax --close-stderr
 3526 ?        Ss     0:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
 4389 ?        Ssl    0:00 /usr/sbin/console-kit-daemon --no-daemon
 6161 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 6208 pts/0    S      0:00 su -
 6216 pts/0    S      0:00 -su
 6403 pts/0    S      0:00 su - Sysoi123u
 7568 ?        S      0:00 [kworker/0:0]
 7858 ?        Sl     0:03 /usr/bin/nemo /home/Sysoi123u/pmvs/lab1
 9851 ?        S      0:00 [kworker/2:0]
10021 ?        S      0:00 [kworker/0:1]
10379 ?        S      0:00 [kworker/1:0]
10444 ?        S      0:00 [kworker/2:2]
10493 ?        S      0:00 [kworker/3:1]
10567 ?        S      0:00 [kworker/u8:1]
10678 ?        S      0:00 [kworker/3:2]
10757 pts/0    S+     0:00 sudo script ps_log.txt
10758 pts/0    S+     0:00 script ps_log.txt
10759 pts/3    Ss     0:00 bash -i
10775 pts/3    S      0:00 su Sysoi123u
10830 ?        S      0:00 [kworker/u8:0]
10923 ?        S      0:00 [kworker/1:2]
10935 ?        S      0:00 [kworker/u8:2]
10981 ?        S      0:00 [kworker/0:2]
10982 ?        S      0:00 [kworker/0:3]
11016 ?        S      0:00 [kworker/3:0]
11040 pts/3    S      0:00 su
11048 pts/3    S      0:00 bash
11080 pts/3    S+     0:00 sudo ps x
11081 pts/3    R+     0:00 ps x
