  PID TTY          TIME CMD
 2009 ?        00:00:00 csd-media-keys
 2012 ?        00:00:00 csd-screensaver
 2026 ?        00:00:00 dconf-service
 2037 ?        00:00:00 gvfs-udisks2-vo
 2040 ?        00:00:01 udisksd
 2062 ?        00:00:00 csd-printer
 2073 ?        00:00:00 gvfs-goa-volume
 2083 ?        00:00:00 goa-daemon
 2086 ?        00:01:12 pulseaudio
 2087 ?        00:00:00 rtkit-daemon
 2180 ?        00:00:00 goa-identity-se
 2183 ?        00:00:00 gvfs-gphoto2-vo
 2192 ?        00:00:00 gvfs-afc-volume
 2198 ?        00:00:00 gvfs-mtp-volume
 2233 ?        00:00:00 cinnamon-launch
 2234 ?        00:06:27 cinnamon
 2258 ?        00:00:00 polkit-gnome-au
 2265 ?        00:00:00 blueberry-obex-
 2268 ?        00:00:00 nemo-desktop
 2269 ?        00:00:00 nm-applet
 2276 ?        00:00:00 cinnamon-killer
 2279 ?        00:00:08 jetbrains-toolb
 2297 ?        00:00:01 jetbrains-toolb
 2314 ?        00:00:00 obexd
 2316 ?        00:00:02 cinnamon-screen
 2320 ?        00:00:00 gvfsd-metadata
 2346 ?        00:00:00 gvfsd-trash
 2369 ?        00:00:01 jetbrains-toolb
 2415 ?        00:00:00 mintupdate-laun
 2422 ?        00:00:00 sh
 2423 ?        00:00:00 mintUpdate
 2425 ?        00:00:00 jetbrains-toolb
 2443 ?        00:00:00 jetbrains-toolb
 2484 ?        00:00:02 jetbrains-toolb
 2518 ?        00:00:00 applet.py
 2545 ?        00:00:00 scp-dbus-servic
 2597 ?        00:00:16 gnome-terminal-
 2601 pts/0    00:00:00 bash
 2645 ?        00:00:00 gconfd-2
 2650 ?        00:00:03 VBoxXPCOMIPCD
 2655 ?        00:00:07 VBoxSVC
 2660 ?        00:05:25 chrome
 2666 ?        00:00:00 cat
 2667 ?        00:00:00 cat
 2706 ?        00:00:00 chrome
 2712 ?        00:00:00 nacl_helper
 2721 ?        00:00:00 chrome
 2791 ?        00:05:34 chrome
 2796 ?        00:00:00 chrome
 2857 ?        00:00:03 chrome
 2859 ?        00:00:05 chrome
 2878 ?        00:00:00 chrome
 2886 ?        00:00:01 chrome
 2894 ?        00:00:44 chrome
 2895 ?        00:00:00 chrome
 2903 ?        00:00:01 chrome
 2959 ?        00:01:18 chrome
 3003 ?        00:00:12 chrome
 3015 ?        00:02:26 chrome
 3031 ?        00:00:42 chrome
 3034 ?        00:00:06 chrome
 3056 ?        00:13:29 chrome
 3133 ?        00:05:33 VirtualBox
 3164 ?        00:00:00 VBoxNetDHCP
 3278 ?        00:00:19 nemo
 3524 ?        00:00:00 dbus-launch
 3526 ?        00:00:00 dbus-daemon
 4131 ?        00:00:04 chrome
 4389 ?        00:00:00 console-kit-dae
 4639 pts/2    00:00:00 bash
 4872 ?        00:00:01 cinnamon-settin
 4889 ?        00:00:00 cinnamon-settin <defunct>
 4894 ?        00:00:00 cinnamon-settin <defunct>
 4899 ?        00:00:00 cinnamon-settin <defunct>
 5547 ?        00:00:06 chrome
 6067 ?        00:00:00 telegram
 6161 ?        00:00:00 dconf-service
 6208 pts/0    00:00:00 su
 6216 pts/0    00:00:00 bash
 6403 pts/0    00:00:00 su
 6411 pts/0    00:00:00 bash
 6483 ?        00:01:11 telegram
 6508 ?        00:00:02 file-roller
 6742 ?        00:00:09 xed
 7219 ?        00:00:02 chrome
 7530 ?        00:01:36 chrome
 7568 ?        00:00:00 kworker/0:0
 7569 ?        00:00:00 chrome
 7583 ?        00:00:00 chrome
 7597 ?        00:00:01 chrome
 7638 ?        00:00:00 chrome
 7858 ?        00:00:03 nemo
 8061 pts/0    00:00:00 git
 8062 pts/0    00:00:00 git-remote-http
 9251 ?        00:00:05 chrome
 9851 ?        00:00:00 kworker/2:0
10021 ?        00:00:00 kworker/0:1
10033 pts/1    00:00:00 bash
10379 ?        00:00:00 kworker/1:0
10444 ?        00:00:00 kworker/2:2
10493 ?        00:00:00 kworker/3:1
10567 ?        00:00:00 kworker/u8:1
10678 ?        00:00:00 kworker/3:2
10757 pts/0    00:00:00 sudo
10758 pts/0    00:00:00 script
10759 pts/3    00:00:00 bash
10775 pts/3    00:00:00 su
10783 pts/3    00:00:00 bash
10830 ?        00:00:00 kworker/u8:0
10923 ?        00:00:00 kworker/1:2
10935 ?        00:00:00 kworker/u8:2
10964 ?        00:00:04 chrome
10981 ?        00:00:00 kworker/0:2
10982 ?        00:00:00 kworker/0:3
11002 ?        00:00:00 chrome
11016 ?        00:00:00 kworker/3:0
11040 pts/3    00:00:00 su
11048 pts/3    00:00:00 bash
11068 pts/3    00:00:00 sudo
11069 pts/3    00:00:00 ps
